Initial URL,Final URL/Status
https://www.bgl.lu/fr/particuliers.html,https://www.bgl.lu/fr/particuliers.html
https://www.bgl.lu/fr/particuliers/securite-en-ligne.html,https://www.bgl.lu/fr/particuliers/securite-en-ligne.html
https://www.bgl.lu/fr/particuliers/contact/questions-frequentes.html,https://www.bgl.lu/fr/particuliers/services-en-ligne/web-banking.html
https://www.bgl.lu/fr/actualites.html,https://www.bgl.lu/fr/actualites.html
https://www.bgl.lu/fr/qui-sommes-nous/nous-rejoindre.html,https://www.bgl.lu/fr/qui-sommes-nous/nous-rejoindre.html
https://www.bgl.lu/fr/professionnels.html,https://www.bgl.lu/fr/entreprises.html
https://www.bgl.lu/fr/entreprises/professions-liberales.html,https://www.bgl.lu/fr/entreprises/professions-liberales.html
https://www.bgl.lu/de/unternehmen/freiberufler-luxemburg.html,https://www.bgl.lu/de/unternehmen/freiberufler-luxemburg.html
https://www.bgl.lu/de/privatkunden/autowunsch/gruene-autos.html,https://www.bgl.lu/de/privatkunden/autowunsch/gruene-autos.html
https://www.bgl.lu/de/ueber-uns.html,https://www.bgl.lu/de/ueber-uns.html
https://www.bgl.lu/de/ueber-uns/wir-ueber-uns.html,https://www.bgl.lu/de/ueber-uns/wir-ueber-uns.html
https://www.bgl.lu/en/about-us/discover-the-bank.html,https://www.bgl.lu/en/about-us/discover-the-bank.html
https://www.bgl.lu/en/about-us/the-bnp-paribas-group.html,https://www.bgl.lu/en/about-us/the-bnp-paribas-group.html
https://www.bgl.lu/en/official-documents.html,https://www.bgl.lu/en/official-documents.html
https://www.bgl.lu/en/individuals/study-plans.html,https://www.bgl.lu/en/individuals/study-plans.html
https://www.bgl.lu/en/individuals/real-estate-project/rental-guarantee.html,https://www.bgl.lu/en/individuals/real-estate-project/rental-guarantee.html
https://www.bgl.lu/de/privatkunden/immobilienprojekt/mietkaution.html,https://www.bgl.lu/de/privatkunden/immobilienprojekt/mietkaution.html
https://www.bgl.lu/de/privatkunden/blog/budget.html,https://www.bgl.lu/de/privatkunden/blog/budget.html
https://www.bgl.lu/de.html,https://www.bgl.lu/de/privatkunden.html
https://www.bgl.lu/de/privatkunden/anlegen/anlagebetreuung.html,https://www.bgl.lu/de/privatkunden/anlegen/anlagebetreuung.html
https://www.bgl.lu/de/privatkunden/kontakt/haufige-fragen.html,https://www.bgl.lu/de/privatkunden/online-dienste/web-banking.html
https://www.bgl.lu/de/privatkunden/online-dienste/web-banking/zugang.html,https://www.bgl.lu/de/privatkunden/online-dienste/web-banking/zugang.html
https://www.bgl.lu/de/particuliers/services-en-ligne/web-banking/guide-app/paiements.html,https://www.bgl.lu/de/particuliers/services-en-ligne/web-banking/guide-app/paiements.html
https://www.bgl.lu/de/particuliers/services-en-ligne/web-banking/guide-app/paiements.html,Failed: Custom 404 (Final URL: https://www.bgl.lu/de/particuliers/services-en-ligne/web-banking/guide-app/paiements.html)
https://www.bgl.lu/de/privatkunden/autowunsch.html,https://www.bgl.lu/de/privatkunden/autowunsch.html
https://www.bgl.lu/de/privatkunden/autowunsch/operatives-leasing.html,https://www.bgl.lu/de/privatkunden/autowunsch/operatives-leasing.html
https://www.bgl.lu/de/privatkunden/autowunsch/antrag-private-lease.html,https://www.bgl.lu/de/privatkunden/autowunsch/antrag-private-lease.html
https://www.bgl.lu/content/dam/bank/common/documents/conditions-generales/Allgemeine-Geschaeftsbedingungen_DE.pdf,https://www.bgl.lu/content/dam/bank/common/documents/conditions-generales/Allgemeine-Geschaeftsbedingungen_DE.pdf
